Quote Number,Status,Customer ID,Event Name,Venue,Event Dates,Service Description,Date of Quotation,Discount Amount,Total Amount,Line Items Total (check),Variance vs Quote
26-090402,Follow up sent,260020,AUTOMECHANIKA,Messe Frankfurt,8-12 September 2026,End-to-End LED Wall Rental & Setup 15m2 Total,06/2026,0.00,5973.75,5973.75,0.00
26-200503,Cancelled,260037,gamescom 2026,Koelnmesse,"August 26-30, 2026",End-to-End Displays Rental & Setup,06/2026,0.00,3490.00,3490.00,0.00
26-260302,New Version Sent,250028,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End LED Wall Rental & Setup 7m2 Total Flat,,0.00,2305.00,2305.00,0.00
26-280402-V2,Approved,260034,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End LED Wall Rental & Setup 19.66m2 Total Flat 1.9,,227.00,9000.00,9227.00,0.00
26-100602,Declined,260038,Private Event,The Westin Grand Frankfurt,"June 24, 2026",End-to-End LED Audio System Rental & Setup,,180.00,1880.00,2060.00,0.00
26-280403,New Version Sent,260034,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End LED Wall Rental & Setup 20m2 Total Flat 2.6,,0.00,5880.00,5880.00,0.00
26-200502,Declined,260039,Private Event,KW Berlin,5.10.2026-01.01.2027,End-to-End LED Wall Rental & Setup 14m2 Total Flat,,0.00,20900.00,20900.00,0.00
26-270602,New Version Sent,250018,IAA Transportation 2026,Hannover Messe,"September 14-20, 2026",End-to-End LED Wall Rental & Setup 45m2 Flat,,0.00,19545.00,19930.00,385.00
26-270603,Cancelled,260040,Chillventa,Nuernberg Messe,"October 13-15, 2026",End-to-End LED Wall Rental & Setup 20m2 Flat,,0.00,6980.00,6980.00,0.00
26-020701,New Version Sent,260041,Retail Store,"Osnabruck, Germany","September 30- October 28, 2026",End-to-End LED Wall Rental & Setup 6m2 Flat,,0.00,7690.00,7690.00,0.00
26-260302-V2,Approved,250028,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End LED Wall Rental & Setup 7m2 Total Flat,,0.00,2505.00,2505.00,0.00
26-070702,Approved,260034,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End Manufacturing & Setup & Dismantling 55m2 Stand,,0.00,19750.00,0.00,-19750.00
26-270602-dup,Declined,250018,IAA Transportation 2026,Hannover Messe,"September 14-20, 2026",End-to-End LED Wall Rental & Setup 45m2 Flat,,0.00,19545.00,19930.00,385.00
26-020701-V2,Declined,260041,Retail Store,"Osnabruck, Germany","September 30- October 28, 2026",End-to-End LED Wall Rental & Setup 6m2 Flat,,0.00,15630.00,15630.00,0.00
26-070702-V2,Approved,260034,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",End-to-End Manufacturing & Setup & Dismantling 55m2 Stand,,2155.77,19401.93,0.00,-21557.70
26-150702,Waiting,260042,WindEnergy Hamburg,Hamburg Messe,"September 22-25, 2026",End-to-End LED Wall Rental & Setup,,0.00,19676.25,19676.25,0.00
26-160702,Follow up sent,260043,Automechanika Frankfurt,Messe Frankfurt,"September 8-12, 2026",End-to-End LED Wall Rental & Setup 13.5m2 Total+Audio,,693.00,5562.00,6255.00,0.00
26-220701-V2,Follow up sent,260018,SBC LISBON,MEO ARENA,"Sep 29 - Oct 1, 2026",End-to-End LED Wall an Displays Rental & Setup,,1285.00,11565.00,12850.00,0.00
26-220702,Follow up sent,260044,Rehacare 2026,Dusseldorf Messe,"Sep 23-26, 2026",End-to-End LED Wall Rental & Setup 12m2 Flat,,0.00,5455.00,5455.00,0.00
26-270702-V3,Waiting,250012,CPHI 2026 Milano,Fiera Milano,"October 6-8, 2026",End-to-End LED Wall and Displays Rental & Setup,,823.75,17000.00,17823.75,0.00
26-280702,Declined,260028,IFA BERLIN 2026,Messe Berlin,"September 4-8, 2026",End-to-End LED Wall and Displays Rental & Setup,,0.00,3560.00,3560.00,0.00
26-070802,Declined,260045,South India Celebration Festival,Berlin,"August 22-23, 2026",End-to-End LED Wall  Rental & Setup,,0.00,9080.00,9080.00,0.00
26-070803,Waiting,260046,Aluminium Global Exhibition,Messe Dusseldorf,"October 6-8, 2026",End-to-End LED Wall Rental & Setup,,3258.00,13032.00,16290.00,0.00
26-070802-V2,Declined,260045,South India Celebration Festival,Berlin,"August 22-23, 2026",End-to-End LED Wall  Rental & Setup,,4540.00,4540.00,9080.00,0.00
26-170802,Waiting,250026,NFL Event,Munich Allianz Arena,"November 9-15, 2026",End-to-End LED Wall Rental & Setup 84m2 Total Flat,08/2026,0.00,40640.00,40640.00,0.00
26-180802,Waiting,260033,Intertabac 2026,Messe Dortmund,"September 15 to 17, 2026",End-to-End LED Wall and Audio Rental & Setup,08/2026,0.00,3040.00,3040.00,0.00
26-200802,Waiting,260047,Circular Tech Awards Gala Dinner,JW Mariott Berlin,"September 5, 2026",End-to-End LED Wall Rental & Setup 35m2 Total Flat,08/2026,0.00,9730.00,9730.00,0.00
26-200803,Waiting,260048,WindEnergy Hamburg,Hamburg Messe,"September 22-25, 2026",End-to-End LED Wall Rental & Setup,08/2026,0.00,2780.00,2780.00,0.00
26-200802-V2,Waiting,260047,Circular Tech Awards Gala Dinner,JW Mariott Berlin,5-Sep-26,"End-to-End LED Wall Rental & Setup 28m2 Total Flat",09/2026,0,7000.00,7000.00,
26-200802-V3,Waiting,260047,Circular Tech Awards Gala Dinner,JW Mariott Berlin,5-Sep-26,"End-to-End LED Wall and Audio Rental & Setup 28m2 Total Flat + Audio System",09/2026,0,10200.00,10200.00,
26-260802,Approved,260049,Glasstec - 2026,Messe Dusseldorf,"October 20-23, 2026",Display Rental,09/2026,0,450.00,450.00,
26-310802,Waiting,260050,Silmo Paris 2026,PARIS NORD VILLEPINTE,"Sep 25 - 28, 2026","End-to-End LED Wall Rental & Setup 3m2 Total Flat",09/2026,0,2740.00,2740.00,
26-310803,Declined,260051,MSPO 2026,Targi Kielce Exhibition Center,"Sep 8 - 11, 2026","End-to-End LED Wall Rental & Setup 47.5m2 Total Flat&Corner",09/2026,0,21717.50,21717.50,
26-270702-V4,Approved,250012,CPHI 2026 Milano,Fiera Milano,"October 6-8, 2026","End-to-End LED Wall and Displays Rental & Setup",09/2026,0,16000.00,16000.00,
